"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1514","Check displaying of empty courses list","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","2462","Verify that course can be successfully edited","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-08-18","passed","2026-08-18","","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-18","passed","2026-08-18","TestUserAuthentication","test_markers","",""
"","1784","Registration with correct email, username and password","LMS system","2026-08-18","passed","2026-08-18","Registration","Authentication","",""
"","1779","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1568","Navigation from login page to registration page","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","0","test_smoke_and_regression","tests.pytest","2026-08-18","passed","2026-08-18","","test_markers","",""
"","0","test_login","tests.pytest","2026-08-18","passed","2026-08-18","TestUserAuthentication","test_markers","",""
"","3545","User login with correct email and password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-08-18","passed","2026-08-18","TestUserAuthentication","test_markers","",""
"","1747","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-18","passed","2026-08-18","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-18","passed","2026-08-18","","test_markers","",""
"","2175","Create course","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","1931","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1602","Check displaying dashboard page","LMS system","2026-08-18","passed","2026-08-18","Dashboard","Dashboard","",""
