"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","1653","Check displaying dashboard page","LMS system","2026-08-12","passed","2026-08-12","Dashboard","Dashboard","",""
"","1800","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1922","Registration with correct email, username and password","LMS system","2026-08-12","passed","2026-08-12","Registration","Authentication","",""
"","2291","Create course","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","0","test_smoke_and_regression","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","2350","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1","test_regression_case","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","2566","Verify that course can be successfully edited","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","1643","Check displaying of empty courses list","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","1625","Navigation from login page to registration page","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1869","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-12","passed","2026-08-12","TestUserInterface","test_markers","",""
"","3664","User login with correct email and password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
